,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,5.0857320000068285,stay,1.1097430999943754,92,92,92
1,1,8.139808700012509,stay,0.8142326999950456,83,175,175
2,1,11.321865500009153,stay,0.6791931000043405,70,245,245
3,1,14.207764500009944,stay,0.8563700999948196,56,301,301
4,1,18.769550900004106,stay,0.57721109999693,50,351,351
5,1,22.928035500008264,leave,0.6685854999959702,0,351,351
6,2,29.72568250000768,stay,0.5672118999937084,93,93,444
7,2,32.54565950001415,stay,0.7364422999962699,83,176,527
8,2,35.484121700006654,stay,0.8925082000059774,75,251,602
9,2,39.779575800013845,stay,0.5212283000000753,59,310,661
10,2,43.26982340001268,stay,0.6446660999936284,49,359,710
11,2,46.69764590001432,leave,0.7220013000041945,0,359,710
12,3,52.09787870000582,stay,0.6565305000112858,98,98,808
13,3,54.92192480000085,stay,0.7308828999957768,85,183,893
14,3,59.13349750000634,stay,0.5422356000053696,69,252,962
15,3,61.833587500004796,stay,0.6257912000000942,62,314,1024
16,3,64.74569340000744,stay,0.5875308999966364,47,361,1071
17,3,68.06983280001441,leave,0.7119849000009708,0,361,1071
18,4,73.54593070001283,stay,0.7717136999999639,86,86,1157
19,4,77.65806420000445,stay,0.46688900000299327,82,168,1239
20,4,81.87979880000057,stay,0.5391344999952707,65,233,1304
21,4,84.81377610001073,stay,0.5229386999999406,64,297,1368
22,4,88.1360321000102,stay,0.5284772000013618,45,342,1413
23,4,91.03008540000883,stay,0.5395217000041157,35,377,1448
24,4,94.40180630001123,leave,1.0279788999905577,0,377,1448
25,5,100.1878665000113,stay,0.7809226999961538,86,86,1534
26,5,102.99540090000664,stay,0.5883870000106981,79,165,1613
27,5,105.7658347000106,stay,0.5922663999954239,73,238,1686
28,5,108.76970350000192,stay,0.6960026000015205,63,301,1749
29,5,111.40394140001445,stay,0.5803599000064423,52,353,1801
30,5,115.57202300000063,stay,0.5150245999975596,38,391,1839
31,5,118.39952960000664,leave,0.8595657999976538,0,391,1839
32,6,123.68798240000615,stay,0.7323348999925656,95,95,1934
33,6,126.43976720000501,stay,0.8498880000115605,78,173,2012
34,6,130.7735895000078,stay,0.5003251000016462,68,241,2080
35,6,134.91404420000617,stay,0.5241213999979664,57,298,2137
36,6,138.06369940000877,stay,0.7912814000010258,49,347,2186
37,6,141.05961920000846,leave,0.8702294999966398,0,347,2186
38,7,146.51977760001319,stay,0.6463833000016166,100,100,2286
39,7,149.32373370000278,stay,0.5008500999974785,83,183,2369
40,7,152.42164750001393,stay,0.5153126000077464,72,255,2441
41,7,155.35984800000733,stay,0.7373410000000149,56,311,2497
42,7,158.15162200000486,stay,0.7285494999960065,53,364,2550
43,7,160.9094766000053,stay,0.7201471000007587,43,407,2593
44,7,163.47804350001388,leave,0.5379714000009699,0,407,2593
45,8,168.98425150000548,stay,0.49519560000044294,93,93,2686
46,8,171.55572820000816,stay,0.6498596000019461,85,178,2771
47,8,174.14390920000733,stay,0.8046782000019448,68,246,2839
48,8,177.65764350000245,stay,0.43554439999570604,62,308,2901
49,8,180.5601852000109,stay,0.5882732000027318,53,361,2954
50,8,183.321560100012,stay,0.6659612000075867,41,402,2995
51,8,187.19153350000852,leave,0.4528361999982735,0,402,2995
52,9,192.57742940000026,stay,0.5891198999888729,87,87,3082
53,9,195.21980650001206,stay,0.547588800007361,84,171,3166
54,9,197.80586730000505,stay,0.5337640999932773,70,241,3236
55,9,200.3500417000032,stay,0.6114026000141166,55,296,3291
56,9,202.99382480001077,stay,0.7055385999992723,45,341,3336
57,9,205.59971190000942,leave,0.5950483000051463,0,341,3336
58,10,210.8840685000032,stay,0.4961312000086764,85,85,3421
59,10,214.27215690001321,stay,0.3835714000015287,83,168,3504
60,10,216.98576470000262,stay,0.5475873999967007,72,240,3576
61,10,219.7200024000049,stay,0.7149757000006502,61,301,3637
62,10,222.29772200000298,stay,0.5758962999971118,54,355,3691
63,10,224.94372840000142,stay,0.52254959999118,37,392,3728
64,10,227.52781600000162,leave,0.507229599999846,0,392,3728
65,11,233.9456552000047,stay,0.7414233000017703,96,96,3824
66,11,236.46619869999995,stay,0.5284013999917079,82,178,3906
67,11,238.99572590000753,stay,0.5577319000003627,74,252,3980
68,11,241.60373510001227,stay,0.482660699999542,65,317,4045
69,11,243.95157180000388,stay,0.4802209000044968,50,367,4095
70,11,246.80573520000326,stay,0.6186100000049919,44,411,4139
71,11,249.7856216000073,leave,0.8646741999982623,0,411,4139
72,12,254.9401426000113,stay,0.43618390000483487,96,96,4235
73,12,257.5999837000127,stay,0.795415899992804,75,171,4310
74,12,260.27409630001057,stay,0.6866668000002392,72,243,4382
75,12,262.9577978000016,stay,0.8870558999915374,62,305,4444
76,12,265.52951680000115,stay,0.5423265999997966,48,353,4492
77,12,268.1158095999999,leave,0.6622581999981776,0,353,4492
78,13,273.4935414000065,stay,0.8068005999957677,95,95,4587
79,13,277.50580280000577,stay,0.40245100000174716,81,176,4668
80,13,279.97554220000166,stay,0.4718219000060344,67,243,4735
81,13,282.5736474000005,stay,0.5700945999997202,64,307,4799
82,13,284.8880615000089,stay,0.5674379000120098,49,356,4848
83,13,287.689726800003,leave,0.5697595000092406,0,356,4848
84,14,292.9015569000039,stay,0.5152221000025747,99,99,4947
85,14,295.1258108000038,stay,0.5058126999938395,76,175,5023
86,14,297.95556830000714,stay,0.7857778000034159,70,245,5093
