,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.05823909999981,stay,0.7633512000002156,90,90,90
1,1,7.250513500000125,stay,0.7219177999995736,81,171,171
2,1,10.69407609999962,stay,0.6159645999996428,74,245,245
3,1,13.79629709999972,stay,0.7680503000001409,65,310,310
4,1,16.820376800000304,stay,0.6416853999999148,52,362,362
5,1,19.606403200000386,stay,0.6448678999995536,40,402,402
6,1,22.360070699999596,leave,0.5482441999993171,0,402,402
7,2,27.72654220000004,stay,0.6978533999999854,92,92,494
8,2,30.73216289999982,stay,0.637689500000306,80,172,574
9,2,33.51821370000016,stay,0.6405322999999044,70,242,644
10,2,36.16072179999992,stay,0.5827072000001863,63,305,707
11,2,38.90222999999969,stay,0.6248105000004216,47,352,754
12,2,41.748102599999584,stay,0.5534405999997034,44,396,798
13,2,44.77024220000021,leave,0.6422247999998945,0,396,798
14,3,50.094199899999694,stay,0.5856204000001526,87,87,885
15,3,52.980121399999916,stay,0.5028944999994565,84,171,969
16,3,55.85018440000022,stay,0.6225705999995625,70,241,1039
17,3,58.56855329999962,stay,0.47439920000033453,64,305,1103
18,3,61.186103600000024,stay,0.6420090999999957,49,354,1152
19,3,63.75190440000006,stay,0.6080984999998691,45,399,1197
20,3,66.28628500000013,stay,0.49228970000058325,33,432,1230
21,3,69.09646969999994,leave,0.6524583000000348,0,432,1230
22,4,74.35221300000012,stay,0.808530599999358,93,93,1323
23,4,76.87424159999955,stay,0.49688160000005155,76,169,1399
24,4,79.42598749999979,stay,0.46523720000004687,72,241,1471
25,4,82.07686620000004,stay,0.5328099999996994,57,298,1528
26,4,84.71639330000016,stay,0.5058827000002566,54,352,1582
27,4,87.49234270000034,stay,0.6820322000003216,42,394,1624
28,4,90.17211909999969,stay,0.5288568999994823,29,423,1653
29,4,92.88247930000034,leave,0.7390559000004941,0,423,1653
30,5,98.11815800000022,stay,0.5247445999993943,85,85,1738
31,5,100.63849579999987,stay,0.4617958999997427,84,169,1822
32,5,103.3403288999998,stay,0.49713100000008126,74,243,1896
33,5,105.9100526000002,stay,0.4502079000003505,59,302,1955
34,5,108.42212250000011,stay,0.4960186000007525,46,348,2001
35,5,110.98597599999994,stay,0.5096041999995577,38,386,2039
36,5,114.12632289999965,leave,0.9666472999997495,0,386,2039
37,6,119.37824360000013,stay,0.5684619000003295,98,98,2137
38,6,122.09012849999999,stay,0.5974025000004985,83,181,2220
39,6,124.7302609999997,stay,0.5705789999992703,75,256,2295
40,6,127.3341676,stay,0.5410854000001564,65,321,2360
41,6,129.83828449999965,stay,0.47916799999984505,54,375,2414
42,6,132.34702070000003,stay,0.5205227000005834,42,417,2456
43,6,135.0664853999997,leave,0.5907803000000058,0,417,2456
44,7,140.46256770000036,stay,0.6701040999996621,91,91,2547
45,7,142.96613629999956,stay,0.5068692000004376,85,176,2632
