,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,2.512172799999462,stay,0.6438741000001755,92,92,92
1,1,4.85570369999914,stay,0.6539899999988847,79,171,171
2,1,8.246115600000849,leave,1.1610708000007435,0,171,171
3,2,20.69219990000056,stay,0.524036700000579,95,95,266
4,2,23.563520499999868,stay,0.6520619000002625,82,177,348
5,2,27.352593600000546,stay,0.501698199999737,72,249,420
6,2,30.057983599999716,stay,0.5231289000003017,55,304,475
7,2,32.68041819999962,leave,0.5294563999996171,0,304,475
8,3,44.914148699999714,stay,0.6626718999996228,91,91,566
9,3,47.425613800000065,stay,0.5581813999997394,83,174,649
10,3,50.04418199999964,stay,0.5757953000011184,75,249,724
11,3,52.743949699999575,stay,0.41001300000061747,57,306,781
12,3,55.46036970000023,leave,0.5594719000000623,0,306,781
13,4,68.43609359999937,stay,1.002436700000544,99,99,880
14,4,71.2500856000006,stay,0.6658948000003875,78,177,958
15,4,73.8880423999999,stay,0.5039734000001772,66,243,1024
16,4,76.5901474000002,stay,0.5899941000006947,62,305,1086
17,4,79.25186890000077,stay,0.5517021000014211,49,354,1135
18,4,82.0163494999997,leave,0.698955300000307,0,354,1135
19,5,94.50603650000085,stay,0.6567541999993409,98,98,1233
20,5,96.99452200000087,stay,0.51104210000085,85,183,1318
21,5,99.35788309999953,stay,0.4244501000011951,70,253,1388
22,5,102.08026439999958,stay,0.46345470000051137,65,318,1453
23,5,104.75822920000064,stay,0.5417885999995633,49,367,1502
24,5,107.16243140000006,stay,0.47967849999986356,40,407,1542
25,5,109.67011319999983,stay,0.5867049999997107,32,439,1574
26,5,112.39422899999954,leave,0.5111713999995118,0,439,1574
27,6,124.66797100000076,stay,0.718636499999775,85,85,1659
28,6,127.07192009999926,stay,0.4557202999985748,77,162,1736
29,6,129.57771150000008,stay,0.46164179999868793,71,233,1807
30,6,131.9802184,stay,0.43079349999970873,59,292,1866
31,6,134.35810739999943,stay,0.5426626999997097,55,347,1921
32,6,136.79588019999937,stay,0.5302222999998776,42,389,1963
33,6,139.24790080000093,leave,0.5155098000013822,0,389,1963
34,7,151.47968369999944,stay,0.46444659999906435,87,87,2050
35,7,154.0262920999994,stay,0.4106580000006943,82,169,2132
36,7,156.97209640000074,stay,0.3902278000005026,67,236,2199
37,7,160.50196890000007,stay,0.5364013999987947,55,291,2254
38,7,163.48381599999993,leave,0.8853413999986515,0,291,2254
39,8,176.04790820000017,stay,0.48299779999979364,88,88,2342
40,8,178.94185749999997,stay,0.4934305000006134,77,165,2419
41,8,181.97601399999985,stay,0.5109923999989405,75,240,2494
42,8,184.5819788000008,stay,0.700153900001169,57,297,2551
43,8,187.42837270000018,stay,0.4135430999995151,53,350,2604
44,8,189.95200470000054,stay,0.5538089999990916,36,386,2640
45,8,192.6302923000003,leave,0.5816676999984338,0,386,2640
46,9,205.98181149999982,stay,0.5174891000006028,85,85,2725
47,9,208.56655019999926,stay,0.5351098999999522,80,165,2805
48,9,210.95029339999928,stay,0.369598400000541,73,238,2878
49,9,213.55583579999984,stay,0.5251059000001987,64,302,2942
50,9,216.0999683000009,stay,0.48590169999988575,50,352,2992
51,9,219.32617460000074,stay,0.7951049999992392,42,394,3034
52,9,221.9379630000003,stay,0.4404162000009819,26,420,3060
53,9,224.59433189999982,leave,0.5133755999995628,0,420,3060
54,10,236.71175480000056,stay,0.531348499998785,89,89,3149
55,10,239.44984690000092,stay,0.8029953999994177,83,172,3232
56,10,242.1640256999999,stay,0.9004585999991832,68,240,3300
57,10,245.82409589999952,stay,0.6936062999993737,61,301,3361
58,10,248.68638979999923,stay,0.9064632000008714,47,348,3408
59,10,252.1742489999997,leave,1.0104898999998113,0,348,3408
60,11,265.3402509000007,stay,0.8272164999998495,92,92,3500
61,11,268.13003500000013,stay,0.6001049000005878,80,172,3580
62,11,270.73785580000003,stay,0.5578907999988587,73,245,3653
63,11,274.1041354000008,stay,0.7412025000012363,63,308,3716
64,11,277.1422705999994,stay,0.8293563000006543,51,359,3767
65,11,280.3162252000002,stay,0.4702164999998786,38,397,3805
66,11,283.7881665999994,leave,1.3916346999994857,0,397,3805
67,12,295.5543780000007,stay,0.5250885000004928,88,88,3893
68,12,298.3325272000002,stay,0.7529446000007738,80,168,3973
